clicked,time
"extrovert",1511652256345
"start",1511652313585
"extrovert",1511652314451
"extrovert",1511652314824
"extrovert",1511652315170
"extrovert",1511652315495
"extrovert",1511652315799
"extrovert",1511652316231
"extrovert",1511652316655
"extrovert",1511652317098
"extrovert",1511652317599
"start",1511652373260
"extrovert",1511652374267
"extrovert",1511652374576
"extrovert",1511652374906
"extrovert",1511652375193
"extrovert",1511652375552
"extrovert",1511652375829
"extrovert",1511652376138
"extrovert",1511652376458
"extrovert",1511652376795
"start",1511652594018
"extrovert",1511652595702
"extrovert",1511652596193
"extrovert",1511652596754
"extrovert",1511652597129
"extrovert",1511652597497
"extrovert",1511652598027
"extrovert",1511652598419
"extrovert",1511652598803
"extrovert",1511652599211
"start",1511652618352
"extrovert",1511652620144
"extrovert",1511652620479
"extrovert",1511652620767
"extrovert",1511652621071
"extrovert",1511652621351
"extrovert",1511652621639
"extrovert",1511652621927
"extrovert",1511652622223
"extrovert",1511652622536
"start",1511652707963
"extrovert",1511652709966
"extrovert",1511652710488
"extrovert",1511652712457
"extrovert",1511652712707
"extrovert",1511652712894
"extrovert",1511652713164
"extrovert",1511652713494
"extrovert",1511652713861
"extrovert",1511652714198
"start",1511652720943
"extrovert",1511652722936
"extrovert",1511652723366
"extrovert",1511652723692
"extrovert",1511652724020
"extrovert",1511652724340
"extrovert",1511652724726
"extrovert",1511652726048
"extrovert",1511652727240
"extrovert",1511652728588
"start",1511653109424
"extrovert",1511653110858
"extrovert",1511653111256
"extrovert",1511653111654
"extrovert",1511653112054
"extrovert",1511653112430
"extrovert",1511653112824
"extrovert",1511653113176
"extrovert",1511653113520
"extrovert",1511653113888
"start",1511653280094
"start",1511653303093
"extrovert",1511653310341
"extrovert",1511653310975
"extrovert",1511653311535
"extrovert",1511653312049
"extrovert",1511653312543
"extrovert",1511653313205
"introvert",1511653314803
"introvert",1511653315801
"extrovert",1511653316372
"start",1511653979058
"start",1511829553873
"introvert",1511829574704
"introvert",1511829578010
"introvert",1511829580954
"introvert",1511829582735
"introvert",1511829584721
"extrovert",1511829586410
"extrovert",1511829587577
"introvert",1511829589461
"introvert",1511829590064
"start",1511829628815
"extrovert",1511829672968
"extrovert",1511829673557
"extrovert",1511829674040
"extrovert",1511829674479
"extrovert",1511829674839
"extrovert",1511829675183
"extrovert",1511829675609
